Rank,Symbol
300,ZFCVINDIA
301,ACUTAAS
302,CHOLAHLDNG
303,MRPL
304,AEGISLOG
305,KARURVYSYA
306,TATAELXSI
307,NETWEB
308,BIRET
309,PNBHOUSING
310,LALPATHLAB
311,MSUMI
312,IRB
313,CDSL
314,GILLETTE
315,APOLLOTYRE
316,SAILIFE
317,RRKABEL
318,ACC
319,NIACL
320,KIOCL
321,AWL
322,FORCEMOT
323,TENNIND
324,CESC
325,SYRMA
326,DATAPATTNS
327,SUMICHEM
328,NXST
329,MTARTECH
330,EMMVEE
331,IGL
332,ASAHIINDIA
333,DEEPAKNTR
334,PPLPHARMA
335,KPIL
336,HBLENGINE
337,IIFL
338,TRITURBINE
339,RBLBANK
340,GRINDWELL
341,CRAFTSMAN
342,ACMESOLAR
343,NEULANDLAB
344,ASTRAZEN
345,IFCI
346,KPITTECH
347,SAMMAANCAP
348,AEGISVOPAK
349,KAYNES
350,GMDCLTD
351,GESHIP
352,RAMCOCEM
353,AFFLE
354,ONESOURCE
355,ANANTRAJ
356,TDPOWERSYS
357,AADHARHFC
358,PFIZER
359,SUNTV
360,CREDITACC
361,HATSUN
362,BBOX
363,RUBICON
364,CARBORUNIV
365,OLAELEC
366,ATUL
367,GRANULES
368,BAYERCROP
369,CGCL
370,BHARATCOAL
371,URBANCO
372,ELGIEQUIP
373,SARDAEN
374,BELRISE
375,CEMPRO
376,ERIS
377,CAMS
378,GPIL
379,CHAMBLFERT
380,SAGILITY
381,REDINGTON
382,PFOCUS
383,FSL
384,CUPID
385,SANSERA
386,RATNAMANI
387,TATACHEM
388,VTL
389,EIHOTEL
390,CUB
391,CASTROLIND
392,DEEPAKFERT
393,SUNDRMFAST
394,CHENNPETRO
395,JSWCEMENT
396,KAJARIACER
397,SYNGENE
398,FRACTAL
399,CIEINDIA
400,CROMPTON
401,KANSAINER
402,CHALET
403,CENTURYPLY
404,CMPDI
405,NAVA
406,TRAVELFOOD
407,EMAMILTD
408,PSB
409,LMW
410,THANGAMAYL
411,AARTIIND
412,PINELABS
413,COHANCE
414,DCMSHRIRAM
415,BIKAJI
416,ZENTEC
417,INDIGRID
418,J_KBANK
419,ABDL
420,FINCABLES
421,ZYDUSWELL
422,JBMA
423,NATCOPHARM
424,JINDALSAW
425,BRIGADE
426,IGIL
427,APOLLO
428,ATLANTAELE
429,GALLANTT
430,USHAMART
431,ARE_M
432,CAPLIPOINT
433,JUBLPHARMA
434,NIVABUPA
435,GSPL
436,MINDACORP
437,AVANTIFEED
438,ANURAS
439,AETHER
440,SHRIPISTON
441,INOXWIND
442,KFINTECH
443,VENTIVE
444,CHOICEIN
445,BASF
446,NSLNISP
447,AGARWALEYE
448,FINEORG
449,APLLTD
450,BEML
451,JYOTICNC
452,POLYMED
453,GABRIEL
454,CCL
455,SOBHA
456,INOXINDIA
457,AZAD
458,MAHSCOOTER
459,CLEANMAX
460,JSWDULUX
461,KSB
462,VIJAYA
463,SCI
464,SHAILY
465,THELEELA
466,DEVYANI
467,TEGA
468,JSWHL
469,PGEL
470,ABREL
471,GRAPHITE
472,ASTRAMICRO
473,WELSPUNLIV
474,GRWRHITECH
475,RAINBOW
476,KIRLOSBROS
477,HONASA
478,VGUARD
479,VINATIORGA
480,ENGINERSIN
481,LTFOODS
482,APTUS
483,PARADEEP
484,KEC
485,SPLPETRO
486,HAPPYFORGE
487,CANHLIFE
488,EIDPARRY
489,JPPOWER
490,TBOTEK
491,ARVIND
492,CEATLTD
493,FIVESTAR
494,IRCON
495,ECLERX
496,DOMS
497,ALIVUS
498,CONCORDBIO
499,PRIVISCL
500,INDGN
502,AMAGI
503,WABAG
504,PCBL
505,HOMEFIRST
507,NUVOCO
508,UJJIVANSFB
510,TRIDENT
511,BALRAMCHIN
512,CORONA
513,TMB
514,PARKHOSPS
516,MARKSANS
517,SHILPAMED
520,INDIACEM
523,JKTYRE
524,ZENSARTECH
525,VIYASH
526,CANFINHOME
527,JMFINANCIL
528,UTIAMC
529,TECHNOE
530,SEDEMAC
531,METROPOLIS
532,JUBLINGREA
533,ACE
534,SHADOWFAX
535,AAVAS
536,SOUTHBANK
537,PRUDENT
538,JAINREC
539,LLOYDPP
540,LLOYDSENT
541,DIACABS
542,AVALON
543,TITAGARH
544,HEG
545,INDIAMART
546,ABLBL
548,BLUEDART
549,SWANDEF
550,RATEGAIN
551,SIGNATURE
552,NAZARA
553,PGHL
554,OLECTRA
555,KIRLPNU
556,UTLSOLAR
557,EDELWEISS
558,FIRSTCRY
559,IEX
560,GODREJAGRO
561,MGL
562,TI
563,JWL
564,RKFORGE
565,INTELLECT
566,TSFINV
567,RITES
568,IIFLCAPS
569,SANOFICONR
570,AFCONS
571,AKUMS
572,BLACKBUCK
573,WAAREERTL
574,SBFC
575,BBTC
576,ELECON
577,FINPIPE
578,KTKBANK
579,TRIVENI
580,BLUEJET
581,JLHL
582,RPOWER
583,ZEEL
584,VARROC
585,MANORAMA
586,TARIL
587,SIGMAADV
588,PCJEWELLER
589,WEWORK
590,SUDEEPPHRM
591,LUMAXTECH
592,PVRINOX
593,WHIRLPOOL
594,HCG
595,TIMETECHNO
596,SWANCORP
597,BLS
598,TEJASNET
599,MEDPLUS
600,SHREEJISPG
601,MANYAVAR
602,SANDUMA
603,RAILTEL
604,STAR
605,ALKYLAMINE
606,PARAS
607,SKYGOLD
608,MMTC
609,ASKAUTOLTD
610,VOLTAMP
611,VESUVIUS
612,CYIENT
613,PGIL
614,BANCOINDIA
615,SAREGAMA
616,TTKPRESTIG
617,BLUESTONE
618,QPOWER
619,RELAXO
620,GENUSPOWER
621,LEMONTREE
622,SUVEN
623,EMBDL
624,JAYNECOIND
625,EUREKAFORB
626,INDIASHLTR
627,NCC
628,EQUITASBNK
629,PGINVIT
630,RELIGARE
631,BATAINDIA
632,ESABINDIA
633,GRINFRA
634,IXIGO
635,TIPSMUSIC
636,BORORENEW
637,WELENT
638,SONATSOFTW
639,E2E
640,KRN
641,THYROCARE
642,KAMAHOLD
643,STARCEMENT
644,SUDARSCHEM
645,RHIM
646,SFL
647,YATHARTH
648,KRBL
649,AVL
650,CELLO
651,SHARDACROP
652,POWERMECH
653,CLEAN
654,SPARC
655,V2RETAIL
656,BSOFT
657,ORKLAINDIA
658,PNGJL
659,MAHLIFE
660,KPIGREEN
661,SGMART
662,SAFARI
663,TTML
664,BIRLACORPN
665,CERA
666,SANOFI
667,ICIL
668,MAHSEAMLES
669,TANLA
670,KIRLFER
671,INDIAGLYCO
672,NEWGEN
673,MIDHANI
674,BALAMINES
675,GMRP_UI
676,KWIL
677,NESCO
678,PRICOLLTD
679,GARFIBRES
680,GNFC
681,EPL
682,POWERICA
683,WESTLIFE
684,SKFINDIA
685,JYOTHYLAB
686,IMFA
687,REDTAPE
688,ELANTAS
689,PICCADIL
690,INOXGREEN
691,GPPL
692,BAJAJCON
693,RAIN
694,JSLL
695,TCI
696,JKLAKSHMI
697,DYNAMATECH
698,ABFRL
699,BENGALASM
700,RCF
701,VIKRAMSOLR
702,OMNI
703,ETHOSLTD
704,RIIT
705,IBULLSLTD
706,AJAXENGG
707,GANESHHOU
708,PRECWIRE
709,CAMPUS
710,KINGFA
711,LOTUSDEV
712,GALAXYSURF
713,FDC
714,SUPRIYA
715,MAXESTATES
716,SJS
717,SHAKTIPUMP
718,ACI
719,TRANSRAILL
720,JUSTDIAL
721,HNDFDS
722,ASHAPURMIN
723,CITIUSINVT
724,JKPAPER
725,GAEL
726,SENORES
727,SUPRAJIT
728,PAISALO
729,AXISCADES
730,DBL
731,ISGEC
732,UNIMECH
733,PRAJIND
734,EBGNG
735,KOVAI
736,AARTIPHARM
737,ITDC
738,STYL
739,DODLA
740,MAPMYINDIA
741,GSFC
742,GREENLAM
743,NEPHROPLUS
744,SUNFLAG
745,CSBBANK
746,LATENTVIEW
747,SKIPPER
748,ARVINDFASN
749,PNCINFRA
750,DBREALTY
751,GOKULAGRO
752,SIS
753,ALOKINDS
754,KUSUMGAR
755,GOKEX
756,KENNAMET
757,KSHINTL
758,CEIGALL
759,TVSSCS
760,FIEMIND
761,CCAVENUE
762,INFIBPP
763,HCC
764,RPEL
765,DCBBANK
766,SENCO
767,GREAVESCOT
768,NEOGEN
769,JAIBALAJI
770,KMEW
771,VMART
772,FEDFINA
773,SMLMAH
774,SAATVIKGL
775,CORDELIA
776,BECTORFOOD
777,SAPPHIRE
778,AHLUCONT
779,INNOVACAP
780,MBAPL
781,SETL
782,INDUSINVIT
783,MASFIN
784,HAPPSTMNDS
785,KALPATARU
786,NIRLON
787,PRSMJOHNSN
788,TIIL
789,MOIL
790,GVPIL
791,STYLAMIND
792,IFBIND
793,TIMEX
794,CENTUM
795,MASTEK
796,ORCHPHARMA
797,AEROFLEX
798,BALUFORGE
799,KISSHT
800,SURYAROSNI
801,JAMNAAUTO
802,IONEXCHANG
803,PURVA
804,BLISSGVS
805,GOLDIAM
806,SMARTWORKS
807,SUBROS
808,ENTERO
809,JSFB
810,RUSTOMJEE
811,PDSL
812,GOODLUCK
813,OPTIEMUS
814,SWSOLAR
815,CRAMC
816,SHILCTECH
817,GULFOILLUB
818,RESPONIND
819,NORTHARC
820,INDIGOPNTS
821,NACLIND
822,EMIL
823,PTC
824,ICRA
825,CARERATING
826,DATAMATICS
827,LGBBROSLTD
828,RPTECH
829,SHARDAMOTR
830,LUMAXIND
831,BANSALWIRE
832,THOMASCOOK
833,RBA
834,PILANIINVS
835,CMRGREEN
836,VADILALIND
837,DEEDEV
838,RPGLIFE
839,IOLCP
840,MOSCHIP
841,SYMPHONY
842,RENUKA
843,TEXRAIL
844,RTNPOWER
845,ZOTA
846,LXCHEM
847,HAWKINCOOK
848,MIDWESTLTD
849,NETWORK18
850,CYIENTDLM
851,RAYMONDREL
852,MHRIL
853,DHANUKA
854,ELECTCAST
855,EPIGRAL
856,OSWALPUMPS
857,AVANTEL
858,RALLIS
859,COCKERILL
860,SUNTECK
861,AURIONPRO
862,SWARAJENG
863,AGI
864,FCL
865,WPIL
866,MSTCLTD
867,RTNINDIA
868,PACEDIGITK
869,BANARISUG
870,RAYMONDLSL
871,HIRECT
872,SHOPERSTOP
873,QUESS
874,INDOSTAR
875,ARTEMISMED
876,REFEX
877,JUNIPER
878,KRISHANA
879,GUJALKALI
880,WAKEFIT
881,ANUP
882,KSCL
883,CMSINFO
884,UNICHEMLAB
885,SGFIN
886,PSPPROJECT
887,ROLEXRINGS
888,VIPIND
889,VAIBHAVGBL
890,WEBELSOLAR
891,AGIIL
892,SSWL
893,SBCL
894,ELLEN
895,VISHNU
896,UNIVCABLES
897,VMARCIND
898,KIRLOSIND
899,MANINFRA
900,MUTHOOTMF
901,RAYMOND
902,NRBBEARING
903,TURTLEMINT
904,GUJTHEM
905,AYE
906,VRLLOG
907,BAJAJHIND
908,KSL
909,VSTIND
910,GREENPLY
911,KDDL
912,EIEL
913,SOTL
914,MANINDS
915,VSTTILLERS
916,RAMRAT
917,NOVARTIND
918,DECNGOLD
919,CAPILLARY
920,GHCL
921,STYRENIX
922,HARSHA
923,GUFICBIO
924,POCL
925,HEMIPROP
926,LUXIND
927,BAJAJELEC
928,TFCILTD
929,JTEKTINDIA
930,MAHLOG
931,FOSECOIND
932,ROSSTECH
933,AARTIDRUGS
934,SINDHUTRAD
935,ASHIANA
936,SANATHAN
937,SAMHI
938,VENUSPIPES
939,DBCORP
940,SHAREINDIA
941,SANGHVIMOV
942,SANDHAR
943,JKIL
944,IDEAFORGE
945,ORIENTELEC
946,LASERPOWER
947,EMUDHRA
948,FUSION
949,FUSIONPP
950,INDOTECH
951,ADVENZYMES
952,GMMPFAUDLR
953,HGINFRA
954,INDIQUBE
955,SMSPHARMA
956,WHEELS
957,SEAMECLTD
958,YASHO
959,HEIDELBERG
960,TRUALT
961,NFL
962,GRAUWEIL
963,BHAGCHEM
964,ROUTE
965,PREMEXPLN
966,MAYURUNIQ
967,ASHOKA
968,SAMBHV
969,WELSPLSOL
970,KERNEX
971,PITTIENG
972,MARINE
973,MPSLTD
974,CARYSIL
975,KNRCON
976,TARC
977,WSTCSTPAPR
978,RELTD
979,CIGNITITEC
980,PANACEABIO
981,ARSSBL
982,INDRAMEDCO
983,RML
984,NPST
985,KOLTEPATIL
986,POLYPLEX
987,MOREPENLAB
988,SHANTIGEAR
989,ADFFOODS
990,GOPAL
991,JASH
992,TATVA
993,NAVNETEDUL
994,CRIZAC
995,NIITMTS
996,SEIL
997,XPROINDIA
998,CARRARO
999,JINDWORLD
1000,TVSSRICHAK